split,AUC,PR-AUC,Acc,P,R,thr,n
VAL,0.7481481481481482,0.664989747813566,0.7021276595744681,0.5882352941176471,1.0,0.3651449978351593,47
TEST,0.8759259259259259,0.7620865452057403,0.7446808510638298,0.625,1.0,0.3651449978351593,47
